Gyroscope_x,Gyroscope_y,Gyroscope_z,Gyroscope_t,Gravity_x,Gravity_y,Gravity_z,Gravity_t,Magnetic_Field_x,Magnetic_Field_y,Magnetic_Field_z,Magnetic_Field_t
-2.9551697, -0.20080566, 0.58628845, 7.6538086, -0.71438056, -9.675727, 1.4284086, 10.746519, -35.868835, -27.960205, 13.25531, 7.6538086, 
0.45437622, 0.035003662, 0.30392456, 8.437681, 1.4381242, -8.482108, 4.707018, 11.004332, -34.672546, -29.164124, 11.051941, 8.437681, 
2.018158, -1.1289368, 0.24719238, 8.639097, 0.341795, -9.775669, -0.6998904, 11.199644, -34.13391, -23.098755, 17.727661, 8.639097, 
1.8669739, -1.5084991, -0.31976318, 8.840513, 1.537615, -8.731654, -4.190984, 11.394957, -24.11499, -11.569214, 30.599976, 8.840513, 
-1.6912384, -0.6604614, 0.6954346, 9.041929, 0.75065154, -9.439401, -2.5504172, 11.586363, -18.249512, -11.399841, 32.22809, 9.041929, 
-2.8457336, -0.21322632, 0.20425415, 9.243345, 0.4899209, -9.603892, 1.9223971, 11.781675, -19.708252, -29.734802, 24.94812, 9.243345, 
0.8000183, -0.32910156, 0.49539185, 9.444761, 1.7515662, -8.875274, 3.7857528, 11.976988, -20.428467, -27.452087, 23.010254, 9.444761, 
2.7513428, -1.6443634, 0.16401672, 9.646177, 0.71712965, -9.605306, -1.8423377, 12.168394, -14.228821, -16.093445, 27.667236, 9.646177, 
1.5352173, -1.3800049, -0.36270142, 9.847593, 2.0193813, -8.299803, -4.817236, 12.363707, 0.31280518, -3.781128, 27.723694, 9.847593, 
-2.5869446, 0.0382843, 0.5739441, 10.049009, 1.3302183, -9.337166, -2.68668, 12.555113, 5.04303, -12.908936, 28.155518, 10.049009, 
-1.9539337, 1.0198822, 0.07122803, 10.250425, 1.651382, -9.20217, 2.9603033, 12.816832, 2.330017, -31.809998, 25.564575, 10.250425, 
1.2030334, -0.61776733, 0.49893188, 10.451841, 1.9591955, -9.414661, 1.9225214, 13.008238, -2.1957397, -27.119446, 30.177307, 10.451841, 
2.5634155, -1.2525024, -0.060806274, 10.653257, 1.6159114, -8.328847, -4.9182854, 13.20355, 2.697754, -10.562134, 31.088257, 10.653257, 
1.085144, -1.2622375, -0.20040894, 10.854673, 2.689759, -8.471113, -4.1443734, 13.398862, 9.515381, -1.9500732, 25.282288, 10.854673, 
-3.5261536, 1.4680634, 0.71121216, 11.056089, 1.995815, -9.440617, -1.7498169, 13.590268, 9.065247, -14.816284, 27.630615, 11.056089, 
-1.142334, 1.4945679, 0.05418396, 11.257505, 2.7269475, -9.197703, 2.0338156, 13.848081, 0.015258789, -29.666138, 27.830505, 11.257505, 
1.0826111, -0.38801575, 0.6155853, 11.458921, 1.9950491, -9.394589, -1.9828936, 14.043393, -1.3320923, -21.357727, 32.121277, 11.458921, 
